model,img_size,strategy,class_compatible,base_model_path,before_f1_macro,after_f1_macro,delta_f1_macro,before_f1_weighted,after_f1_weighted,delta_f1_weighted,before_accuracy,after_accuracy,delta_accuracy,before_precision_macro,after_precision_macro,delta_precision_macro,before_recall_macro,after_recall_macro,delta_recall_macro
efficientnetb3_cbam,224,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/efficientnetb3_cbam_img224_final.keras,0.5615942028985507,0.9297385620915033,0.36814435919295263,0.7951429690560124,0.9454513336866278,0.15030836463061537,0.8108108108108109,0.9459459459459459,0.1351351351351351,0.5699404761904762,0.9391304347826087,0.36918995859213255,0.5775252525252526,0.9222222222222222,0.3446969696969696
densenet121_cbam,192,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/densenet121_cbam_img192_final.keras,0.46428571428571425,0.8892156862745098,0.4249299719887955,0.6808236808236808,0.8904080551139375,0.20958437429025667,0.7297297297297297,0.8918918918918919,0.16216216216216217,0.503968253968254,0.8970108695652174,0.3930426155969634,0.4941919191919192,0.8830808080808081,0.38888888888888895
efficientnetb5_cbam,224,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/efficientnetb5_cbam_img224_final.keras,0.5476190476190476,0.8228451563691838,0.2752261087501362,0.7619047619047619,0.8442286680272951,0.08232390612253326,0.7567567567567568,0.8378378378378378,0.08108108108108103,0.5345238095238095,0.7857142857142857,0.2511904761904762,0.5712121212121212,0.9318181818181819,0.3606060606060607
resnet50_cbam,192,feature_extractor,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/resnet50_cbam_img192_final.keras,0.5404761904761906,0.7314855875831486,0.19100939710695808,0.7287001287001286,0.7107568766105351,-0.017943252089593464,0.7297297297297297,0.7027027027027027,-0.027027027027026973,0.5318181818181817,0.72188995215311,0.19007177033492828,0.554040404040404,0.7484848484848484,0.19444444444444442
mobilenetv3large_cbam,192,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/mobilenetv3large_cbam_img192_final.keras,0.5229853479853479,0.7119463869463869,0.188961038961039,0.7353628353628354,0.7942606942606942,0.05889785889785881,0.7297297297297297,0.7837837837837838,0.05405405405405406,0.505496137849079,0.6671122994652406,0.16161616161616166,0.5762626262626263,0.854040404040404,0.2777777777777778
mobilenetv3large_cbam,192,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/mobilenetv3large_cbam_img192_final.keras,0.5229853479853479,0.7084302325581395,0.18544488457279162,0.7353628353628354,0.8268070395977372,0.09144420423490174,0.7297297297297297,0.8108108108108109,0.08108108108108114,0.505496137849079,0.7029761904761905,0.19748005262711155,0.5762626262626263,0.8325757575757575,0.25631313131313127
resnet101_cbam,224,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/resnet101_cbam_img224_final.keras,0.5624401913875599,0.6724008207934337,0.10996062940587381,0.7482219061166429,0.7917513957185639,0.043529489601921045,0.7567567567567568,0.7837837837837838,0.027027027027026973,0.5545454545454546,0.6470238095238096,0.09247835497835499,0.5712121212121212,0.7825757575757576,0.21136363636363642
mobilenetv3large_cbam,224,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/mobilenetv3large_cbam_img224_final.keras,0.5664451827242525,0.669793868921776,0.10334868619752346,0.7732184011253779,0.7951117079024055,0.02189330677702761,0.7837837837837838,0.7837837837837838,0.0,0.5684523809523809,0.6488095238095238,0.0803571428571429,0.5767676767676768,0.7825757575757576,0.20580808080808077
resnet50_cbam,192,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/resnet50_cbam_img192_final.keras,0.5404761904761906,0.6638471177944862,0.12337092731829569,0.7287001287001286,0.7668834247781615,0.03818329607803295,0.7297297297297297,0.7567567567567568,0.027027027027027084,0.5318181818181817,0.6458333333333334,0.11401515151515162,0.554040404040404,0.7712121212121212,0.21717171717171724
resnet101_cbam,192,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/resnet101_cbam_img192_final.keras,0.5436807095343681,0.6515088304825476,0.1078281209481795,0.7338646850841972,0.8517779356327541,0.11791325054855684,0.7297297297297297,0.8648648648648649,0.1351351351351352,0.5390688259109312,0.67875,0.13968117408906877,0.5598484848484848,0.6330808080808081,0.07323232323232332
efficientnetb3_cbam,224,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/efficientnetb3_cbam_img224_final.keras,0.5615942028985507,0.6470588235294118,0.08546462063086113,0.7951429690560124,0.698639816286875,-0.09650315276913746,0.8108108108108109,0.6756756756756757,-0.1351351351351352,0.5699404761904762,0.6274038461538461,0.05746336996336998,0.5775252525252526,0.797979797979798,0.22045454545454546
efficientnetb5_cbam,192,fine_tune_all,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/efficientnetb5_cbam_img192_final.keras,0.5333333333333333,0.6435647685647685,0.1102314352314352,0.7279279279279279,0.718938718938719,-0.008989208989208963,0.7297297297297297,0.7297297297297297,0.0,0.5109126984126984,0.615909090909091,0.10499639249639259,0.5762626262626263,0.7492424242424243,0.172979797979798
resnet50_cbam,224,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/resnet50_cbam_img224_final.keras,0.8020025839793281,0.6428743961352656,-0.15912818784406246,0.9029611006355193,0.8456195325760544,-0.05734156805946489,0.8918918918918919,0.8378378378378378,-0.05405405405405406,0.7936507936507936,0.6607142857142857,-0.1329365079365079,0.8994949494949495,0.6545454545454545,-0.24494949494949492
inceptionv3_cbam,224,fine_tune_last,False,/scratch/slurm/adriancr/477/tmp/tl-477/code/artifacts_cbam/final_model/inceptionv3_cbam_img224_final.keras,0.5686423505572442,0.61875,0.05010764944275581,0.7951751143240504,0.857882882882883,0.06270776855883253,0.8108108108108109,0.8648648648648649,0.05405405405405406,0.6028571428571429,0.6211180124223602,0.01826086956521733,0.5775252525252526,0.6330808080808081,0.05555555555555558
